comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1872047203	jeju****	언론 의  말들은 믿을 필요가 없는듯 .다 썩어버린것 같이 보여요. 진실을 잘 보고 선거때 잘찍고주위에 모르는 사람들에게 잘 알려줘야겧지요	2019-10-01T18:30:11+0900	4	0
1872043963	jeju****	그래도 진실하게 일하는 모습이   윤총장님이  대선주자가 되야 할듯하네요. 글쎄요 지금 다른 사람은   없는듯 한데?	2019-10-01T18:27:36+0900	1	3
1872043253	blue****	사회주의자 빨갱이 좌국도 후보 3위냐??? ㅋㅋㅋㅋㅋ 전라도놈들은 지역감정 얘기하지말라고 하는데 니들이 그렇게 만든거야 어찌 좌국 찬성이 유일하게 높게 나오는지역이냐?? 니들은 지역폄하해도 싸다 진짜 저짝지역은 정상적인 사고가 안되는동네 ㅉㅉ	2019-10-01T18:27:02+0900	7	1
1872042893	mlrs****	한계려  분위기 파악 못하고 조국을 대선후보 설문을 논할때냐?	2019-10-01T18:26:46+0900	2	0
1872038883	gksd****	와 진짜 국민들아 아무리 진보 보수 좌우파 가진자 못가진자 이렇게 문죄인이 갈라놓아도 조국은 아니잔아 모르고 속을지언정 알고는 안속아야지 나라부터 똑바로 해놓고 그안에서 갈라져서 싸워야지 아예 나라를 통채로 망치려고하나	2019-10-01T18:23:52+0900	8	1
1872036353	jeju****	댓글조작이 생각나네. 몰아가기? 이제 어떤국민이 속을까?ㅋㅋㅋ 개가 웃고 죽은소가 웃을일이네	2019-10-01T18:21:48+0900	5	0
1872030403	yjkl****	교활이가? ㅋㅋㅋㅋㅋㅋㅋㅋ	2019-10-01T18:17:15+0900	0	3
1872028793	gamu****	설마.부칸얘들도  여론조사 참여 한건  아니지	2019-10-01T18:15:58+0900	2	0
1872027223	gamu****	맘대로 하세요.  유전무죄  무전유죄라 말했던 죄수가  낫네요.	2019-10-01T18:14:50+0900	1	0
1872027153	drea****	이낙연 지지율 깍아먹기네. 북한 김정은도 응원하는 조국. 국민들이 장님인줄 아냐?	2019-10-01T18:14:47+0900	0	0
